school_subjects,student_exam_grades,student_number,musical_participation,engagement_level,vocal_engagement_exams,vocal_engagement_student_number,instrumental_engagement_exams,instrumental_engagement_student_number
English 12,69.71,"63,131",no,,,,,
English 10,70.87,"96,216",no,,,,,
Math 10,67.03,"75,616",no,,,,,
Science 10,67.23,"95,873",no,,,,,
English 12,72.18,"11,419",yes,,,,,
English 10,73.59,"15,391",yes,,,,,
Math 10,70.75,"13,772",yes,,,,,
Science 10,70.99,"15,416",yes,,,,,
English 12,74.9,"2,728",vocal,,,,,
English 10,77.08,"3,766",vocal,,,,,
Math 10,72.04,"3,198",vocal,,,,,
Science 10,73.03,"3,769",vocal,,,,,
English 12,76.33,"5,749",instrumental,,,,,
English 10,78.64,"7,652",instrumental,,,,,
Math 10,77,"6,994",instrumental,,,,,
Science 10,76.82,"7,665",instrumental,,,,,
English 12,,,vocal_engagement,0,69.59,"63,131",69.59,"63,131"
English 10,,,vocal_engagement,0,70.67,"96,216",70.72,"96,216"
Math 10,,,vocal_engagement,0,66.79,"75,616",66.98,"95,873"
Science 10,,,vocal_engagement,0,66.95,"95,873",67.24,"75,616"
English 12,,,vocal_engagement,1,70.15,"1,796",72.48,"1,274"
English 10,,,vocal_engagement,1,71.58,"2,669",73.99,"1,728"
Math 10,,,vocal_engagement,1,67.32,"2,207",71.79,"1,547"
Science 10,,,vocal_engagement,1,67.92,"2,670",71.37,"1,726"
English 12,,,vocal_engagement,2,71.75,726,72.24,"2,852"
English 10,,,vocal_engagement,2,72.73,880,73.68,"3,931"
Math 10,,,vocal_engagement,2,68.15,792,71.75,"3,581"
Science 10,,,vocal_engagement,2,69.33,883,71.7,"3,938"
English 12,,,vocal_engagement,3,70.93,206,73.64,73.64
English 10,,,vocal_engagement,3,72.36,217,75.27,75.27
Math 10,,,vocal_engagement,3,68.38,199,73.02,73.02
Science 10,,,vocal_engagement,3,69.78,216,73.21,73.21
English 12,,,instrumental_enagagement,0,69.59,"63,131",,
English 10,,,instrumental_enagagement,0,70.72,"96,216",,
Math 10,,,instrumental_enagagement,0,66.98,"95,873",,
Science 10,,,instrumental_enagagement,0,67.24,"75,616",,
English 12,,,instrumental_enagagement,1,72.48,"1,274",,
English 10,,,instrumental_enagagement,1,73.99,"1,728",,
Math 10,,,instrumental_enagagement,1,71.79,"1,547",,
Science 10,,,instrumental_enagagement,1,71.37,"1,726",,
English 12,,,instrumental_enagagement,2,72.24,"2,852",,
English 10,,,instrumental_enagagement,2,73.68,"3,931",,
Math 10,,,instrumental_enagagement,2,71.75,"3,581",,
Science 10,,,instrumental_enagagement,2,71.7,"3,938",,
English 12,,,instrumental_enagagement,3,73.64,73.64,,
English 10,,,instrumental_enagagement,3,75.27,75.27,,
Math 10,,,instrumental_enagagement,3,73.02,73.02,,
Science 10,,,instrumental_enagagement,3,73.21,73.21,,